Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;;
3,367476852;2,90162037;3,624709977;4,301736111;3,308217593;5,376851852;2;;;;;;;;;;
2,90162037;3,624709977;4,301736111;3,308217593;5,376851852;2,474074074;5;;;;;;;;;;
3,624709977;4,301736111;3,308217593;5,376851852;2,474074074;1,689236111;1;;;;;;;;;;
4,301736111;3,308217593;5,376851852;2,474074074;1,689236111;2,831712963;2;;;;;;;;;;
3,308217593;5,376851852;2,474074074;1,689236111;2,831712963;3,235416667;3;;;;;;;;;;
5,376851852;2,474074074;1,689236111;2,831712963;3,235416667;3,886111111;3;;;;;;;;;;
2,474074074;1,689236111;2,831712963;3,235416667;3,886111111;4,649652778;1;;;;;;;;;;
1,689236111;2,831712963;3,235416667;3,886111111;4,649652778;5,67037037;3;;;;;;;;;;
2,831712963;3,235416667;3,886111111;4,649652778;5,67037037;4,747337963;3;;;;;;;;;;
3,235416667;3,886111111;4,649652778;5,67037037;4,747337963;5,846064815;2;;;;;;;;;;
3,886111111;4,649652778;5,67037037;4,747337963;5,846064815;4,25775463;6;;;;;;;;;;
4,649652778;5,67037037;4,747337963;5,846064815;4,25775463;4,266319444;1;;;;;;;;;;
5,67037037;4,747337963;5,846064815;4,25775463;4,266319444;7,445717593;2;;;;;;;;;;
4,747337963;5,846064815;4,25775463;4,266319444;7,445717593;9,017265353;2;;;;;;;;;;
5,846064815;4,25775463;4,266319444;7,445717593;9,017265353;6,74525463;1;;;;;;;;;;
4,25775463;4,266319444;7,445717593;9,017265353;6,74525463;6,209953704;1;;;;;;;;;;
4,266319444;7,445717593;9,017265353;6,74525463;6,209953704;6,869988413;4;;;;;;;;;;
7,445717593;9,017265353;6,74525463;6,209953704;6,869988413;5,899254658;2;;;;;;;;;;
9,017265353;6,74525463;6,209953704;6,869988413;5,899254658;6,796527778;4;;;;;;;;;;
6,74525463;6,209953704;6,869988413;5,899254658;6,796527778;7,251533742;3;;;;;;;;;;
6,209953704;6,869988413;5,899254658;6,796527778;7,251533742;7,587615741;5;;;;;;;;;;
6,869988413;5,899254658;6,796527778;7,251533742;7,587615741;9,387037037;3;;;;;;;;;;
5,899254658;6,796527778;7,251533742;7,587615741;9,387037037;8,032523148;4;;;;;;;;;;
6,796527778;7,251533742;7,587615741;9,387037037;8,032523148;8,323263889;6;;;;;;;;;;
7,251533742;7,587615741;9,387037037;8,032523148;8,323263889;8,629050926;4;;;;;;;;;;
7,587615741;9,387037037;8,032523148;8,323263889;8,629050926;9,005336427;4;;;;;;;;;;
9,387037037;8,032523148;8,323263889;8,629050926;9,005336427;9,748032407;3;;;;;;;;;;
8,032523148;8,323263889;8,629050926;9,005336427;9,748032407;10,42314815;2;;;;;;;;;;
8,323263889;8,629050926;9,005336427;9,748032407;10,42314815;8,618402778;1;;;;;;;;;;
8,629050926;9,005336427;9,748032407;10,42314815;8,618402778;9,493055556;10;;;;;;;;;;
9,005336427;9,748032407;10,42314815;8,618402778;9,493055556;8,541550926;5;;;;;;;;;;
9,748032407;10,42314815;8,618402778;9,493055556;8,541550926;8,433449074;4;;;;;;;;;;
10,42314815;8,618402778;9,493055556;8,541550926;8,433449074;8,357986111;6;;;;;;;;;;
8,618402778;9,493055556;8,541550926;8,433449074;8,357986111;7,795138889;5;;;;;;;;;;
9,493055556;8,541550926;8,433449074;8,357986111;7,795138889;9,828587963;2;;;;;;;;;;
8,541550926;8,433449074;8,357986111;7,795138889;9,828587963;12,68391204;3;;;;;;;;;;
8,433449074;8,357986111;7,795138889;9,828587963;12,68391204;10,88055556;2;;;;;;;;;;
8,357986111;7,795138889;9,828587963;12,68391204;10,88055556;10,44236111;3;;;;;;;;;;
7,795138889;9,828587963;12,68391204;10,88055556;10,44236111;9,814368482;4;;;;;;;;;;
9,828587963;12,68391204;10,88055556;10,44236111;9,814368482;9,868634259;5;;;;;;;;;;
12,68391204;10,88055556;10,44236111;9,814368482;9,868634259;7,623958333;10;;;;;;;;;;
10,88055556;10,44236111;9,814368482;9,868634259;7,623958333;9,776157407;3;;;;;;;;;;
10,44236111;9,814368482;9,868634259;7,623958333;9,776157407;10,81668598;4;;;;;;;;;;
9,814368482;9,868634259;7,623958333;9,776157407;10,81668598;12,01331019;4;;;;;;;;;;
9,868634259;7,623958333;9,776157407;10,81668598;12,01331019;12,48611111;3;;;;;;;;;;
7,623958333;9,776157407;10,81668598;12,01331019;12,48611111;11,51378911;4;;;;;;;;;;
9,776157407;10,81668598;12,01331019;12,48611111;11,51378911;8,943634259;3;;;;;;;;;;
10,81668598;12,01331019;12,48611111;11,51378911;8,943634259;11,27824074;5;;;;;;;;;;
12,01331019;12,48611111;11,51378911;8,943634259;11,27824074;12,03935185;5;;;;;;;;;;
12,48611111;11,51378911;8,943634259;11,27824074;12,03935185;10,24074074;2;;;;;;;;;;
11,51378911;8,943634259;11,27824074;12,03935185;10,24074074;11,9900232;2;;;;;;;;;;
8,943634259;11,27824074;12,03935185;10,24074074;11,9900232;14,7375;2;;;;;;;;;;
11,27824074;12,03935185;10,24074074;11,9900232;14,7375;14,08125;11;;;;;;;;;;
12,03935185;10,24074074;11,9900232;14,7375;14,08125;13,85486111;10;;;;;;;;;;
10,24074074;11,9900232;14,7375;14,08125;13,85486111;15,7037037;1;;;;;;;;;;
11,9900232;14,7375;14,08125;13,85486111;15,7037037;17,48946759;1;;;;;;;;;;
14,7375;14,08125;13,85486111;15,7037037;17,48946759;14,87624565;1;;;;;;;;;;
14,08125;13,85486111;15,7037037;17,48946759;14,87624565;13,98344907;8;;;;;;;;;;
13,85486111;15,7037037;17,48946759;14,87624565;13,98344907;13,21122685;4;;;;;;;;;;
15,7037037;17,48946759;14,87624565;13,98344907;13,21122685;10,274156;1;;;;;;;;;;
17,48946759;14,87624565;13,98344907;13,21122685;10,274156;8,513457077;7;;;;;;;;;;
14,87624565;13,98344907;13,21122685;10,274156;8,513457077;9,782638889;5;;;;;;;;;;
13,98344907;13,21122685;10,274156;8,513457077;9,782638889;11,44490741;2;;;;;;;;;;
13,21122685;10,274156;8,513457077;9,782638889;11,44490741;12,90208333;3;;;;;;;;;;
10,274156;8,513457077;9,782638889;11,44490741;12,90208333;15,00127462;3;;;;;;;;;;
8,513457077;9,782638889;11,44490741;12,90208333;15,00127462;15,8087963;0;;;;;;;;;;
9,782638889;11,44490741;12,90208333;15,00127462;15,8087963;15,1224537;3;;;;;;;;;;
11,44490741;12,90208333;15,00127462;15,8087963;15,1224537;16,46458333;8;;;;;;;;;;
12,90208333;15,00127462;15,8087963;15,1224537;16,46458333;18,88657407;3;;;;;;;;;;
15,00127462;15,8087963;15,1224537;16,46458333;18,88657407;19,79576784;5;;;;;;;;;;
15,8087963;15,1224537;16,46458333;18,88657407;19,79576784;19,23453237;4;;;;;;;;;;
15,1224537;16,46458333;18,88657407;19,79576784;19,23453237;17,4564951;6;;;;;;;;;;
16,46458333;18,88657407;19,79576784;19,23453237;17,4564951;14,09039352;3;;;;;;;;;;
18,88657407;19,79576784;19,23453237;17,4564951;14,09039352;14,11939394;4;;;;;;;;;;
19,79576784;19,23453237;17,4564951;14,09039352;14,11939394;11,87024793;4;;;;;;;;;;
19,23453237;17,4564951;14,09039352;14,11939394;11,87024793;13,96393245;3;;;;;;;;;;
17,4564951;14,09039352;14,11939394;11,87024793;13,96393245;17,52488263;4;;;;;;;;;;
14,09039352;14,11939394;11,87024793;13,96393245;17,52488263;19,0400463;3;;;;;;;;;;
14,11939394;11,87024793;13,96393245;17,52488263;19,0400463;17,53206019;0;;;;;;;;;;
11,87024793;13,96393245;17,52488263;19,0400463;17,53206019;17,35219907;2;;;;;;;;;;
13,96393245;17,52488263;19,0400463;17,53206019;17,35219907;15,20619159;2;;;;;;;;;;
17,52488263;19,0400463;17,53206019;17,35219907;15,20619159;15,69710648;4;;;;;;;;;;
19,0400463;17,53206019;17,35219907;15,20619159;15,69710648;13,51458333;4;;;;;;;;;;
17,53206019;17,35219907;15,20619159;15,69710648;13,51458333;16,46825029;4;;;;;;;;;;
17,35219907;15,20619159;15,69710648;13,51458333;16,46825029;15,56898148;3;;;;;;;;;;
15,20619159;15,69710648;13,51458333;16,46825029;15,56898148;15,47511574;2;;;;;;;;;;
15,69710648;13,51458333;16,46825029;15,56898148;15,47511574;13,65121669;4;;;;;;;;;;
13,51458333;16,46825029;15,56898148;15,47511574;13,65121669;17,5380787;4;;;;;;;;;;
16,46825029;15,56898148;15,47511574;13,65121669;17,5380787;17,34217845;5;;;;;;;;;;
15,56898148;15,47511574;13,65121669;17,5380787;17,34217845;19,03831019;2;;;;;;;;;;
15,47511574;13,65121669;17,5380787;17,34217845;19,03831019;19,78993056;4;;;;;;;;;;
13,65121669;17,5380787;17,34217845;19,03831019;19,78993056;20,8438007;4;;;;;;;;;;
17,5380787;17,34217845;19,03831019;19,78993056;20,8438007;20,49201389;2;;;;;;;;;;
17,34217845;19,03831019;19,78993056;20,8438007;20,49201389;19,96570104;2;;;;;;;;;;
19,03831019;19,78993056;20,8438007;20,49201389;19,96570104;20,56736111;3;;;;;;;;;;
19,78993056;20,8438007;20,49201389;19,96570104;20,56736111;22,05300926;8;;;;;;;;;;
20,8438007;20,49201389;19,96570104;20,56736111;22,05300926;22,02097335;6;;;;;;;;;;
20,49201389;19,96570104;20,56736111;22,05300926;22,02097335;22,65358796;1;;;;;;;;;;
19,96570104;20,56736111;22,05300926;22,02097335;22,65358796;22,66597222;1;;;;;;;;;;
20,56736111;22,05300926;22,02097335;22,65358796;22,66597222;22,31377315;3;;;;;;;;;;
22,05300926;22,02097335;22,65358796;22,66597222;22,31377315;18,40775463;0;;;;;;;;;;
22,02097335;22,65358796;22,66597222;22,31377315;18,40775463;19,43240741;2;;;;;;;;;;
22,65358796;22,66597222;22,31377315;18,40775463;19,43240741;22,76071842;3;;;;;;;;;;
22,66597222;22,31377315;18,40775463;19,43240741;22,76071842;22,84739282;5;;;;;;;;;;
22,31377315;18,40775463;19,43240741;22,76071842;22,84739282;21,39350348;5;;;;;;;;;;
18,40775463;19,43240741;22,76071842;22,84739282;21,39350348;16,20219907;5;;;;;;;;;;
19,43240741;22,76071842;22,84739282;21,39350348;16,20219907;13,84363426;3;;;;;;;;;;
22,76071842;22,84739282;21,39350348;16,20219907;13,84363426;15,61712963;3;;;;;;;;;;
22,84739282;21,39350348;16,20219907;13,84363426;15,61712963;15,74982415;0;;;;;;;;;;
21,39350348;16,20219907;13,84363426;15,61712963;15,74982415;18,11566125;4;;;;;;;;;;
16,20219907;13,84363426;15,61712963;15,74982415;18,11566125;20,03356481;1;;;;;;;;;;
13,84363426;15,61712963;15,74982415;18,11566125;20,03356481;18,28921114;5;;;;;;;;;;
15,61712963;15,74982415;18,11566125;20,03356481;18,28921114;18,7693287;4;;;;;;;;;;
15,74982415;18,11566125;20,03356481;18,28921114;18,7693287;19,57354988;0;;;;;;;;;;
18,11566125;20,03356481;18,28921114;18,7693287;19,57354988;20,53946759;3;;;;;;;;;;
20,03356481;18,28921114;18,7693287;19,57354988;20,53946759;20,88991889;4;;;;;;;;;;
18,28921114;18,7693287;19,57354988;20,53946759;20,88991889;20,56851852;5;;;;;;;;;;
18,7693287;19,57354988;20,53946759;20,88991889;20,56851852;22,59420626;1;;;;;;;;;;
19,57354988;20,53946759;20,88991889;20,56851852;22,59420626;24,21782407;4;;;;;;;;;;
20,53946759;20,88991889;20,56851852;22,59420626;24,21782407;25,57766204;7;;;;;;;;;;
20,88991889;20,56851852;22,59420626;24,21782407;25,57766204;27,39443801;2;;;;;;;;;;
20,56851852;22,59420626;24,21782407;25,57766204;27,39443801;28,20798611;2;;;;;;;;;;
22,59420626;24,21782407;25,57766204;27,39443801;28,20798611;28,62835648;2;;;;;;;;;;
24,21782407;25,57766204;27,39443801;28,20798611;28,62835648;27,80173611;3;;;;;;;;;;
25,57766204;27,39443801;28,20798611;28,62835648;27,80173611;24,74270833;4;;;;;;;;;;
27,39443801;28,20798611;28,62835648;27,80173611;24,74270833;23,83981481;6;;;;;;;;;;
28,20798611;28,62835648;27,80173611;24,74270833;23,83981481;23,34826389;5;;;;;;;;;;
28,62835648;27,80173611;24,74270833;23,83981481;23,34826389;25,29459135;4;;;;;;;;;;
27,80173611;24,74270833;23,83981481;23,34826389;25,29459135;23,54282407;2;;;;;;;;;;
24,74270833;23,83981481;23,34826389;25,29459135;23,54282407;22,31780488;4;;;;;;;;;;
23,83981481;23,34826389;25,29459135;23,54282407;22,31780488;19,58900463;2;;;;;;;;;;
23,34826389;25,29459135;23,54282407;22,31780488;19,58900463;21,298146;6;;;;;;;;;;
25,29459135;23,54282407;22,31780488;19,58900463;21,298146;19,32627315;3;;;;;;;;;;
23,54282407;22,31780488;19,58900463;21,298146;19,32627315;21,33391204;5;;;;;;;;;;
22,31780488;19,58900463;21,298146;19,32627315;21,33391204;22,67592593;3;;;;;;;;;;
19,58900463;21,298146;19,32627315;21,33391204;22,67592593;24,02025463;2;;;;;;;;;;
21,298146;19,32627315;21,33391204;22,67592593;24,02025463;22,19270833;4;;;;;;;;;;
19,32627315;21,33391204;22,67592593;24,02025463;22,19270833;21,97638889;1;;;;;;;;;;
21,33391204;22,67592593;24,02025463;22,19270833;21,97638889;22,04467593;6;;;;;;;;;;
22,67592593;24,02025463;22,19270833;21,97638889;22,04467593;23,5626883;6;;;;;;;;;;
24,02025463;22,19270833;21,97638889;22,04467593;23,5626883;20,51691773;4;;;;;;;;;;
22,19270833;21,97638889;22,04467593;23,5626883;20,51691773;22,47083333;2;;;;;;;;;;
21,97638889;22,04467593;23,5626883;20,51691773;22,47083333;24,06076389;2;;;;;;;;;;
22,04467593;23,5626883;20,51691773;22,47083333;24,06076389;25,65787037;3;;;;;;;;;;
23,5626883;20,51691773;22,47083333;24,06076389;25,65787037;25,66030093;2;;;;;;;;;;
20,51691773;22,47083333;24,06076389;25,65787037;25,66030093;25,85434531;4;;;;;;;;;;
22,47083333;24,06076389;25,65787037;25,66030093;25,85434531;26,31173055;1;;;;;;;;;;
24,06076389;25,65787037;25,66030093;25,85434531;26,31173055;27,7179606;3;;;;;;;;;;
25,65787037;25,66030093;25,85434531;26,31173055;27,7179606;28,85162413;2;;;;;;;;;;
25,66030093;25,85434531;26,31173055;27,7179606;28,85162413;29,32465278;3;;;;;;;;;;
25,85434531;26,31173055;27,7179606;28,85162413;29,32465278;29,0155633;4;;;;;;;;;;
26,31173055;27,7179606;28,85162413;29,32465278;29,0155633;30,31689815;9;;;;;;;;;;
27,7179606;28,85162413;29,32465278;29,0155633;30,31689815;31,09604651;5;;;;;;;;;;
28,85162413;29,32465278;29,0155633;30,31689815;31,09604651;31,43306265;0;;;;;;;;;;
29,32465278;29,0155633;30,31689815;31,09604651;31,43306265;28,92048611;2;;;;;;;;;;
29,0155633;30,31689815;31,09604651;31,43306265;28,92048611;27,18240741;4;;;;;;;;;;
30,31689815;31,09604651;31,43306265;28,92048611;27,18240741;26,1962963;2;;;;;;;;;;
31,09604651;31,43306265;28,92048611;27,18240741;26,1962963;26,99259259;4;;;;;;;;;;
31,43306265;28,92048611;27,18240741;26,1962963;26,99259259;28,6161066;6;;;;;;;;;;
28,92048611;27,18240741;26,1962963;26,99259259;28,6161066;28,92592593;3;;;;;;;;;;
27,18240741;26,1962963;26,99259259;28,6161066;28,92592593;29,42372685;4;;;;;;;;;;
26,1962963;26,99259259;28,6161066;28,92592593;29,42372685;29,95625;6;;;;;;;;;;
26,99259259;28,6161066;28,92592593;29,42372685;29,95625;30,33206019;2;;;;;;;;;;
28,6161066;28,92592593;29,42372685;29,95625;30,33206019;30,95451389;3;;;;;;;;;;
28,92592593;29,42372685;29,95625;30,33206019;30,95451389;30,60659722;1;;;;;;;;;;
29,42372685;29,95625;30,33206019;30,95451389;30,60659722;29,3755787;1;;;;;;;;;;
29,95625;30,33206019;30,95451389;30,60659722;29,3755787;30,17303241;5;;;;;;;;;;
30,33206019;30,95451389;30,60659722;29,3755787;30,17303241;31,48449074;2;;;;;;;;;;
30,95451389;30,60659722;29,3755787;30,17303241;31,48449074;32,03958333;4;;;;;;;;;;
30,60659722;29,3755787;30,17303241;31,48449074;32,03958333;30,99767981;2;;;;;;;;;;
29,3755787;30,17303241;31,48449074;32,03958333;30,99767981;29,35972222;3;;;;;;;;;;
30,17303241;31,48449074;32,03958333;30,99767981;29,35972222;26,52470998;2;;;;;;;;;;
31,48449074;32,03958333;30,99767981;29,35972222;26,52470998;26,54525463;4;;;;;;;;;;
32,03958333;30,99767981;29,35972222;26,52470998;26,54525463;27,47969662;3;;;;;;;;;;
30,99767981;29,35972222;26,52470998;26,54525463;27,47969662;26,82537659;2;;;;;;;;;;
29,35972222;26,52470998;26,54525463;27,47969662;26,82537659;26,3806489;2;;;;;;;;;;
26,52470998;26,54525463;27,47969662;26,82537659;26,3806489;25,2119213;0;;;;;;;;;;
26,54525463;27,47969662;26,82537659;26,3806489;25,2119213;23,70219907;1;;;;;;;;;;
27,47969662;26,82537659;26,3806489;25,2119213;23,70219907;20,05341831;4;;;;;;;;;;
26,82537659;26,3806489;25,2119213;23,70219907;20,05341831;23,03055556;0;;;;;;;;;;
26,3806489;25,2119213;23,70219907;20,05341831;23,03055556;26,17881944;4;;;;;;;;;;
25,2119213;23,70219907;20,05341831;23,03055556;26,17881944;27,48321759;3;;;;;;;;;;
23,70219907;20,05341831;23,03055556;26,17881944;27,48321759;28,64872685;4;;;;;;;;;;
20,05341831;23,03055556;26,17881944;27,48321759;28,64872685;30,07995365;9;;;;;;;;;;
23,03055556;26,17881944;27,48321759;28,64872685;30,07995365;30,86793981;1;;;;;;;;;;
26,17881944;27,48321759;28,64872685;30,07995365;30,86793981;30,47997685;1;;;;;;;;;;
27,48321759;28,64872685;30,07995365;30,86793981;30,47997685;28,36446759;3;;;;;;;;;;
28,64872685;30,07995365;30,86793981;30,47997685;28,36446759;22,03541667;3;;;;;;;;;;
30,07995365;30,86793981;30,47997685;28,36446759;22,03541667;26,64285714;2;;;;;;;;;;
30,86793981;30,47997685;28,36446759;22,03541667;26,64285714;28,47792056;1;;;;;;;;;;
30,47997685;28,36446759;22,03541667;26,64285714;28,47792056;29,63859649;2;;;;;;;;;;
28,36446759;22,03541667;26,64285714;28,47792056;29,63859649;25,14673784;2;;;;;;;;;;
22,03541667;26,64285714;28,47792056;29,63859649;25,14673784;22,50011614;1;;;;;;;;;;
26,64285714;28,47792056;29,63859649;25,14673784;22,50011614;20,51053241;4;;;;;;;;;;
28,47792056;29,63859649;25,14673784;22,50011614;20,51053241;22,90647059;2;;;;;;;;;;
29,63859649;25,14673784;22,50011614;20,51053241;22,90647059;21,94105263;1;;;;;;;;;;
25,14673784;22,50011614;20,51053241;22,90647059;21,94105263;20,92429907;0;;;;;;;;;;
22,50011614;20,51053241;22,90647059;21,94105263;20,92429907;23,02787456;4;;;;;;;;;;
20,51053241;22,90647059;21,94105263;20,92429907;23,02787456;22,26226636;0;;;;;;;;;;
22,90647059;21,94105263;20,92429907;23,02787456;22,26226636;23,10608187;4;;;;;;;;;;
21,94105263;20,92429907;23,02787456;22,26226636;23,10608187;19,68014019;1;;;;;;;;;;
20,92429907;23,02787456;22,26226636;23,10608187;19,68014019;19,12268409;4;;;;;;;;;;
23,02787456;22,26226636;23,10608187;19,68014019;19,12268409;21,99559524;4;;;;;;;;;;
22,26226636;23,10608187;19,68014019;19,12268409;21,99559524;23,24836449;2;;;;;;;;;;
23,10608187;19,68014019;19,12268409;21,99559524;23,24836449;24,47609988;3;;;;;;;;;;
19,68014019;19,12268409;21,99559524;23,24836449;24,47609988;25,71740167;4;;;;;;;;;;
19,12268409;21,99559524;23,24836449;24,47609988;25,71740167;26,94947368;1;;;;;;;;;;
21,99559524;23,24836449;24,47609988;25,71740167;26,94947368;27,2532634;0;;;;;;;;;;
23,24836449;24,47609988;25,71740167;26,94947368;27,2532634;27,25058962;1;;;;;;;;;;
24,47609988;25,71740167;26,94947368;27,2532634;27,25058962;24,9778679;2;;;;;;;;;;
25,71740167;26,94947368;27,2532634;27,25058962;24,9778679;24,26152047;4;;;;;;;;;;
26,94947368;27,2532634;27,25058962;24,9778679;24,26152047;23,06690058;2;;;;;;;;;;
27,2532634;27,25058962;24,9778679;24,26152047;23,06690058;22,45462963;0;;;;;;;;;;
27,25058962;24,9778679;24,26152047;23,06690058;22,45462963;19,81875;5;;;;;;;;;;
24,9778679;24,26152047;23,06690058;22,45462963;19,81875;19,4337963;2;;;;;;;;;;
24,26152047;23,06690058;22,45462963;19,81875;19,4337963;19,6193287;4;;;;;;;;;;
23,06690058;22,45462963;19,81875;19,4337963;19,6193287;20,31877173;3;;;;;;;;;;
22,45462963;19,81875;19,4337963;19,6193287;20,31877173;19,74143519;5;;;;;;;;;;
19,81875;19,4337963;19,6193287;20,31877173;19,74143519;19,7787037;1;;;;;;;;;;
19,4337963;19,6193287;20,31877173;19,74143519;19,7787037;18,97893519;2;;;;;;;;;;
19,6193287;20,31877173;19,74143519;19,7787037;18,97893519;20,68449074;2;;;;;;;;;;
20,31877173;19,74143519;19,7787037;18,97893519;20,68449074;18,47152778;1;;;;;;;;;;
19,74143519;19,7787037;18,97893519;20,68449074;18,47152778;20,00393519;2;;;;;;;;;;
19,7787037;18,97893519;20,68449074;18,47152778;20,00393519;21,26034884;2;;;;;;;;;;
18,97893519;20,68449074;18,47152778;20,00393519;21,26034884;19,21378911;5;;;;;;;;;;
20,68449074;18,47152778;20,00393519;21,26034884;19,21378911;22,03101852;6;;;;;;;;;;
18,47152778;20,00393519;21,26034884;19,21378911;22,03101852;22,17511574;3;;;;;;;;;;
20,00393519;21,26034884;19,21378911;22,03101852;22,17511574;20,41053241;4;;;;;;;;;;
21,26034884;19,21378911;22,03101852;22,17511574;20,41053241;20,47025463;3;;;;;;;;;;
19,21378911;22,03101852;22,17511574;20,41053241;20,47025463;19,58781903;3;;;;;;;;;;
22,03101852;22,17511574;20,41053241;20,47025463;19,58781903;18,71979167;6;;;;;;;;;;
22,17511574;20,41053241;20,47025463;19,58781903;18,71979167;13,60810185;3;;;;;;;;;;
20,41053241;20,47025463;19,58781903;18,71979167;13,60810185;15,73020833;3;;;;;;;;;;
20,47025463;19,58781903;18,71979167;13,60810185;15,73020833;18,32407407;4;;;;;;;;;;
19,58781903;18,71979167;13,60810185;15,73020833;18,32407407;19,03055556;5;;;;;;;;;;
18,71979167;13,60810185;15,73020833;18,32407407;19,03055556;18,06581692;4;;;;;;;;;;
13,60810185;15,73020833;18,32407407;19,03055556;18,06581692;17,33865741;3;;;;;;;;;;
15,73020833;18,32407407;19,03055556;18,06581692;17,33865741;15,61516204;4;;;;;;;;;;
18,32407407;19,03055556;18,06581692;17,33865741;15,61516204;15,65729167;8;;;;;;;;;;
19,03055556;18,06581692;17,33865741;15,61516204;15,65729167;13,95260718;2;;;;;;;;;;
18,06581692;17,33865741;15,61516204;15,65729167;13,95260718;14,10381944;3;;;;;;;;;;
17,33865741;15,61516204;15,65729167;13,95260718;14,10381944;15,05383721;5;;;;;;;;;;
15,61516204;15,65729167;13,95260718;14,10381944;15,05383721;16,30914352;1;;;;;;;;;;
15,65729167;13,95260718;14,10381944;15,05383721;16,30914352;16,884375;4;;;;;;;;;;
13,95260718;14,10381944;15,05383721;16,30914352;16,884375;16,08611111;3;;;;;;;;;;
14,10381944;15,05383721;16,30914352;16,884375;16,08611111;17,16894554;9;;;;;;;;;;
15,05383721;16,30914352;16,884375;16,08611111;17,16894554;18,46863426;4;;;;;;;;;;
16,30914352;16,884375;16,08611111;17,16894554;18,46863426;17,36828704;2;;;;;;;;;;
16,884375;16,08611111;17,16894554;18,46863426;17,36828704;16,74837963;4;;;;;;;;;;
16,08611111;17,16894554;18,46863426;17,36828704;16,74837963;16,54108796;4;;;;;;;;;;
17,16894554;18,46863426;17,36828704;16,74837963;16,54108796;16,63387471;6;;;;;;;;;;
18,46863426;17,36828704;16,74837963;16,54108796;16,63387471;14,14825581;3;;;;;;;;;;
17,36828704;16,74837963;16,54108796;16,63387471;14,14825581;14,71284722;8;;;;;;;;;;
16,74837963;16,54108796;16,63387471;14,14825581;14,71284722;12,90613426;6;;;;;;;;;;
16,54108796;16,63387471;14,14825581;14,71284722;12,90613426;11,39791667;7;;;;;;;;;;
16,63387471;14,14825581;14,71284722;12,90613426;11,39791667;11,30162037;5;;;;;;;;;;
14,14825581;14,71284722;12,90613426;11,39791667;11,30162037;11,73576389;5;;;;;;;;;;
14,71284722;12,90613426;11,39791667;11,30162037;11,73576389;12,28041958;2;;;;;;;;;;
12,90613426;11,39791667;11,30162037;11,73576389;12,28041958;12,65891204;2;;;;;;;;;;
11,39791667;11,30162037;11,73576389;12,28041958;12,65891204;11,60787037;3;;;;;;;;;;
11,30162037;11,73576389;12,28041958;12,65891204;11,60787037;11,25844907;7;;;;;;;;;;
